name,description,stars,agui_dependency,evidence,repo_url,screenshots
copilotkit-mcp-demo,,114,true,package.json declares a CopilotKit package,https://github.com/CopilotKit/copilotkit-mcp-demo,https://github.com/user-attachments/assets/8167c845-0381-45d9-ad1c-83f995d48290
coding-agent,Your own Coding Agent 🤖,107,true,agent/pyproject.toml declares a CopilotKit package,https://github.com/AbhinavTheDev/coding-agent,
v0-copilot-next,,98,true,package.json declares a CopilotKit package,https://github.com/Tabintel/v0-copilot-next,
second-brain-research-dashboard,,95,true,agent/pyproject.toml declares an AG-UI package,https://github.com/coleam00/second-brain-research-dashboard,
AgenticGenUI,Render interactive components in your chat window,94,true,package.json declares an AG-UI package,https://github.com/vivek100/AgenticGenUI,https://github.com/user-attachments/assets/ce0190f9-5b12-4c1c-846c-7ce50955ea37
copilotmate,Ai assistant made with copilotkit ai,93,true,package.json declares a CopilotKit package,https://github.com/AkashJana18/copilotmate,https://github.com/user-attachments/assets/31b93ec2-94c9-4949-96a3-160018fd4311;https://github.com/user-attachments/assets/68df962c-9bc2-48ae-9ffd-3c073f13e083;https://github.com/user-attachments/assets/5d78657c-fa78-492c-bbf8-d2dcdf6fa699;https://github.com/user-attachments/assets/1fe3ea5e-4a34-4755-a042-d327adc17c8e
vue-copilotkit,Reach for a Vue component library,87,true,package.json declares a CopilotKit package,https://github.com/fe-51shebao/vue-copilotkit,
angular-agent-framework,Build agentic Angular apps,70,true,package.json declares an AG-UI package,https://github.com/cacheplane/angular-agent-framework,
VercelZero,"Open-source deployment platform inspired by Vercel, showcasing product-focused frontend architecture, AI-assisted workflows, and a modern dashboard UX with Next.js + TypeScript",68,true,package.json declares a CopilotKit package,https://github.com/DaveSimoes/VercelZero,https://raw.githubusercontent.com/DaveSimoes/VercelZero/HEAD/assets/vercelzero-readme-demo.gif;https://raw.githubusercontent.com/DaveSimoes/VercelZero/HEAD/assets/banner.svg
human-in-the-loop-rag-agent,RAG AI Agent with Realtime Source Validation (Human in the Loop) - Built with CopilotKit + Pydantic AI,66,true,frontend/package.json declares an AG-UI package,https://github.com/coleam00/human-in-the-loop-rag-agent,
ATHENA,Reason over a biomedical knowledge graph,63,true,pyproject.toml declares an AG-UI package,https://github.com/mims-harvard/ATHENA,https://raw.githubusercontent.com/mims-harvard/ATHENA/HEAD/docs/assets/athena-screenshot.png
clawg-ui,Put an OpenClaw agent behind a web UI,62,true,package.json declares an AG-UI package,https://github.com/contextablemark/clawg-ui,https://raw.githubusercontent.com/contextablemark/clawg-ui/HEAD/clawgui.png
study-sphere,🤖 Copilotkit-powered learning app...,57,true,package.json declares a CopilotKit package,https://github.com/k0msenapati/study-sphere,https://github.com/user-attachments/assets/56509c06-42a5-49c8-a39d-26598ca00cd9;https://raw.githubusercontent.com/Tarikul-Islam-Anik/Telegram-Animated-Emojis/main/Objects/Memo.webp
with-agent-spec,,53,true,package.json declares an AG-UI package,https://github.com/CopilotKit/with-agent-spec,
excalidraw-studio,Draw diagrams from the chat,52,true,package.json declares a CopilotKit package,https://github.com/CopilotKit/excalidraw-studio,https://github.com/user-attachments/assets/c0bbf341-c4a9-44fb-86b3-a1ed5523fcf9;https://github.com/user-attachments/assets/edeaeb7a-746e-4aa0-8362-e0cc3b3dce76;https://github.com/user-attachments/assets/08650072-bcff-42c2-a1a6-83ad803f9456
agent-sdk-go,"Durable execution framework for AI agents in Go. Keeps agent state, tool calls, and execution loops resilient across process crashes.",51,true,examples/agent_with_agui/ui/package.json declares an AG-UI package,https://github.com/agenticenv/agent-sdk-go,https://raw.githubusercontent.com/agenticenv/agent-chat/main/demo.gif
TitanX,"Enterprise AI Agent Orchestration Platform — Secure, Observable, Configurable. Multi-agent teams with IAM policies, n8n workflows, LangChain memory, LangSmith traces, NemoClaw security, OpenTelemetry, and 20+ LLM providers.",46,true,package.json declares a CopilotKit package,https://github.com/CES-Ltd/TitanX,https://raw.githubusercontent.com/CES-Ltd/TitanX/HEAD/docs/screenshots/titanx-logo-sm.png;https://raw.githubusercontent.com/CES-Ltd/TitanX/HEAD/docs/screenshots/titanx-architecture-v2.gif;https://raw.githubusercontent.com/CES-Ltd/TitanX/HEAD/docs/screenshots/01-home.png;https://raw.githubusercontent.com/CES-Ltd/TitanX/HEAD/docs/screenshots/04-security-features.png
open-ag-ui-canvas,,45,true,agent/pyproject.toml declares an AG-UI package,https://github.com/ag-ui-protocol/open-ag-ui-canvas,
ag-ui-crewai-research,Implement AG-UI with CrewAI,45,true,package.json declares a CopilotKit package,https://github.com/Folken2/ag-ui-crewai-research,
crewform,Assemble a crew from a form,44,false,no dependency found,https://github.com/CrewForm/crewform,https://repository-images.githubusercontent.com/1164790900/75595c5b-5ac4-41ee-8203-85824eebc87f;https://raw.githubusercontent.com/CrewForm/crewform/HEAD/.github/assets/crewform-banner.png;https://raw.githubusercontent.com/CrewForm/crewform/HEAD/.github/assets/pipeline-run-hero.gif;https://raw.githubusercontent.com/CrewForm/crewform/HEAD/.github/assets/screenshot-agent-create.png
trunk-transcribe,Transcription of calls from trunk-recorder using OpenAI Whisper,42,true,frontend/package.json declares an AG-UI package,https://github.com/CrimeIsDown/trunk-transcribe,https://user-images.githubusercontent.com/498525/215303132-9249123f-0fcd-41a4-b29e-8d9c5847e663.png
MindmapCopilot,Simplifies your mindmap creation. Chat with your copilot to visualize and enrich your map with suggested notes for each node.,41,true,package.json declares a CopilotKit package,https://github.com/hoangv97/MindmapCopilot,
Generative-UI-Global-Hackathon-Starter-Kit,,41,true,apps/agent/pyproject.toml declares a CopilotKit package,https://github.com/jerelvelarde/Generative-UI-Global-Hackathon-Starter-Kit,https://raw.githubusercontent.com/jerelvelarde/Generative-UI-Global-Hackathon-Starter-Kit/HEAD/apps/frontend/public/banner.jpg;https://raw.githubusercontent.com/jerelvelarde/Generative-UI-Global-Hackathon-Starter-Kit/HEAD/apps/frontend/public/generative-ui-spectrum-v2.jpg
adk-agui-middleware,Put a Google ADK agent behind AG-UI in Python,40,true,pyproject.toml declares an AG-UI package,https://github.com/trendmicro/adk-agui-middleware,
copilot-ai-demo,CopilotKit AI助手演示应用 - 展示前端UI与后端Agent交互,39,true,package.json declares a CopilotKit package,https://github.com/pingcy/copilot-ai-demo,
knowsee-public,"ADK + CopilotKit reference implementation using AGUI, A2A, GenerativeUI - Multi-agent AI assistant with Vertex AI RAG",36,true,web/package.json declares an AG-UI package,https://github.com/saahil-mehta/knowsee-public,https://raw.githubusercontent.com/saahil-mehta/knowsee-public/HEAD/assets/banner.png;https://raw.githubusercontent.com/saahil-mehta/knowsee-public/HEAD/assets/knowsee.gif;https://raw.githubusercontent.com/saahil-mehta/knowsee-public/HEAD/assets/sessions-tools.gif;https://raw.githubusercontent.com/saahil-mehta/knowsee-public/HEAD/assets/create-account.png
open-ag-ui-langgraph,,35,true,agent/pyproject.toml declares an AG-UI package,https://github.com/TheGreatBonnie/open-ag-ui-langgraph,
pathfinder,Search your docs and code from the chat,34,true,package.json declares a CopilotKit package,https://github.com/CopilotKit/pathfinder,
frontier-agents-workshop,Work through an enterprise workshop,34,true,requirements.txt declares an AG-UI package,https://github.com/denniszielke/frontier-agents-workshop,https://raw.githubusercontent.com/denniszielke/frontier-agents-workshop/HEAD/what_is_an_agent.png;https://raw.githubusercontent.com/denniszielke/frontier-agents-workshop/HEAD/story.png;https://raw.githubusercontent.com/denniszielke/frontier-agents-workshop/HEAD/images/workflows.png;https://raw.githubusercontent.com/denniszielke/frontier-agents-workshop/HEAD/images/tooling.png
minimal-copilotkit-langgraph,Minimal AG-UI Starter Stack w/ LangGraph & 🪁 CopilotKit,34,true,copilot-runtime-service/package.json declares a CopilotKit package,https://github.com/jrhicks/minimal-copilotkit-langgraph,https://raw.githubusercontent.com/jrhicks/minimal-copilotkit-langgraph/HEAD/react-client/minimal-preview.gif
tako-copilotkit,,34,true,package.json declares a CopilotKit package,https://github.com/TakoData/tako-copilotkit,
Socrates,,33,true,pyproject.toml declares an AG-UI package,https://github.com/PeterLeeXX/Socrates,
demo-campaign-manager,,32,true,package.json declares a CopilotKit package,https://github.com/CopilotKit/demo-campaign-manager,
inalpha,"🦊 Open-source professional quant agent framework. Agents pick the factors working now to time entries, write full strategies, and evolve them in a sandbox — every order through machine approval, the LLM never on the order path. Multi-market, audit-grade.",32,true,apps/dashboard/package.json declares an AG-UI package,https://github.com/mirror29/inalpha,https://raw.githubusercontent.com/mirror29/inalpha/HEAD/assets/mascot-avatar.png;https://raw.githubusercontent.com/mirror29/inalpha/HEAD/assets/screenshots/en/overview.png;https://raw.githubusercontent.com/mirror29/inalpha/HEAD/assets/screenshots/en/lab.png;https://raw.githubusercontent.com/mirror29/inalpha/HEAD/assets/screenshots/en/runners.png
langgraph4j-copilotkit,Make a Java LangGraph speak AG-UI,31,true,copilot-app/package.json declares an AG-UI package,https://github.com/langgraph4j/langgraph4j-copilotkit,https://raw.githubusercontent.com/langgraph4j/langgraph4j-copilotkit/HEAD/demo.gif
sample-FAST-applications,Fullstack AgentCore Solution Template samples repository. See what others have built with FAST!,29,true,samples/copilotkit-generative-ui/pyproject.toml declares a CopilotKit package,https://github.com/aws-samples/sample-FAST-applications,https://raw.githubusercontent.com/aws-samples/sample-FAST-applications/HEAD/samples/restaurant-assistant/docs/img/restaurant-assistant-screenshot.png;https://raw.githubusercontent.com/aws-samples/sample-FAST-applications/HEAD/samples/copilotkit-generative-ui/docs/img/generative-ui-screenshot2.png;https://raw.githubusercontent.com/aws-samples/sample-FAST-applications/HEAD/samples/llm-council/docs/architecture-diagram/llm-council-stages.png;https://raw.githubusercontent.com/aws-samples/sample-FAST-applications/HEAD/samples/dual-monitoring-system/docs/architecture-diagram/Dual-monitoring-20260407.jpg
langgraph-interrupt-workflow-template,⚡ Production-ready LangGraph interrupt template with modern web interface | Human-in-the-loop AI workflows | FastAPI backend + Next.js frontend,29,true,examples/copilotkit/package.json declares an AG-UI package,https://github.com/KirtiJha/langgraph-interrupt-workflow-template,https://raw.githubusercontent.com/KirtiJha/langgraph-interrupt-workflow-template/HEAD/docs/demo.gif
agent-studio-starter,Bootstrap a full agent studio,28,true,backend/pyproject.toml declares a CopilotKit package,https://github.com/nsphung/agent-studio-starter,https://repository-images.githubusercontent.com/1162602267/bf51fca2-2a5b-44e5-beb4-f13464941b6a
HouseClick,House prices app,27,true,app/package.json declares a CopilotKit package,https://github.com/ClickHouse/HouseClick,https://raw.githubusercontent.com/ClickHouse/HouseClick/HEAD/house-click.png
medplum-ai-concierge,Healthcare dashboard with AI-powered chart generation,27,true,apps/agent/package.json declares a CopilotKit package,https://github.com/vintasoftware/medplum-ai-concierge,https://github.com/user-attachments/assets/ee8cb590-0ad8-4177-b227-72ba7fbb406c
a2a-demo,See A2A and AG-UI in one app,26,true,package.json declares an AG-UI package,https://github.com/ag-ui-protocol/a2a-demo,https://raw.githubusercontent.com/ag-ui-protocol/a2a-demo/HEAD/a2a.gif
